productname	price	quantity	CustomerName
Chais 	18 	24 	La maison d'Asie 
Chais 	18 	10 	Queen Cozinha 
Chais 	18 	15 	Chop-suey Chinese 
Chais 	18 	12 	Pericles Comidas clásicas 
Chais 	18 	15 	Die Wandernde Kuh 
Chais 	18 	45 	QUICK-Stop 
Chais 	18 	18 	Rattlesnake Canyon Grocery 
Chais 	18 	20 	Lonesome Pine Restaurant 
Chang 	19 	25 	Folk och fä HB 
Chang 	19 	25 	Save-a-lot Markets 
Chang 	19 	10 	Consolidated Holdings 
Chang 	19 	24 	Frankenversand 
Chang 	19 	60 	QUICK-Stop 
Chang 	19 	7 	Hungry Owl All-Night Grocers 
Chang 	19 	35 	Folk och fä HB 
Chang 	19 	20 	Richter Supermarkt 
Chang 	19 	50 	Ernst Handel 
Chang 	19 	40 	Hungry Owl All-Night Grocers 
Chang 	19 	45 	Save-a-lot Markets 
Aniseed Syrup 	10 	50 	LINO-Delicateses 
Aniseed Syrup 	10 	30 	B's Beverages 
Chef Anton's Cajun Seasoning 	22 	10 	Mère Paillarde 
Chef Anton's Cajun Seasoning 	22 	18 	Princesa Isabel Vinhoss 
Chef Anton's Cajun Seasoning 	22 	24 	Bólido Comidas preparadas 
Chef Anton's Cajun Seasoning 	22 	35 	White Clover Markets 
Chef Anton's Cajun Seasoning 	22 	20 	Hungry Owl All-Night Grocers 
Chef Anton's Gumbo Mix 	21.35 	20 	Comércio Mineiro 
Chef Anton's Gumbo Mix 	21.35 	12 	Rattlesnake Canyon Grocery 
Chef Anton's Gumbo Mix 	21.35 	32 	Ernst Handel 
Chef Anton's Gumbo Mix 	21.35 	65 	Ernst Handel 
Grandma's Boysenberry Spread 	25 	30 	Hungry Owl All-Night Grocers 
Grandma's Boysenberry Spread 	25 	6 	Königlich Essen 
Uncle Bob's Organic Dried Pears 	30 	15 	Rattlesnake Canyon Grocery 
Uncle Bob's Organic Dried Pears 	30 	10 	Split Rail Beer & Ale 
Northwoods Cranberry Sauce 	40 	70 	White Clover Markets 
Northwoods Cranberry Sauce 	40 	70 	QUICK-Stop 
Mishi Kobe Niku 	97 	20 	Wellington Importadora 
Ikura 	31 	30 	LILA-Supermercado 
Ikura 	31 	16 	Bottom-Dollar Marketse 
Ikura 	31 	24 	QUICK-Stop 
Ikura 	31 	15 	Tortuga Restaurante 
Queso Cabrales 	21 	24 	Antonio Moreno Taquería 
Queso Cabrales 	21 	50 	Folk och fä HB 
Queso Cabrales 	21 	30 	Ernst Handel 
Queso Cabrales 	21 	12 	Wilman Kala 
Queso Cabrales 	21 	12 	LILA-Supermercado 
Queso Cabrales 	21 	6 	Reggiani Caseifici 
Queso Cabrales 	21 	6 	Folk och fä HB 
Queso Cabrales 	21 	12 	Piccolo und mehr 
Queso Cabrales 	21 	30 	Ottilies Käseladen 
Queso Manchego La Pastora 	38 	12 	Wartian Herkku 
Queso Manchego La Pastora 	38 	15 	Mère Paillarde 
Konbu 	6 	18 	Drachenblut Delikatessend 
